id_pedido,data_pedido,data_entrega,transportadora,regiao,status,valor
1,2026-02-21,2026-02-27,Speedy,Sudeste,atraso,157.58
2,2026-01-15,2026-01-19,FastLog,Norte,entregue,591.68
3,2026-03-13,2026-03-20,LogX,Nordeste,atraso,868.75
4,2026-03-02,2026-03-06,FastLog,Norte,entregue,503.25
5,2026-01-21,2026-01-23,LogX,Sul,entregue,994.84
6,2026-03-24,2026-03-31,LogX,Centro-Oeste,atraso,695.21
7,2026-03-28,2026-04-05,FastLog,Centro-Oeste,atraso,120.37
8,2026-03-16,2026-03-18,LogX,Centro-Oeste,entregue,993.19
9,2026-03-16,2026-03-21,UltraShip,Centro-Oeste,atraso,437.5
10,2026-03-29,2026-03-30,FastLog,Centro-Oeste,entregue,323.03
11,2026-01-24,2026-01-31,Speedy,Centro-Oeste,atraso,579.99
12,2026-01-03,2026-01-11,LogX,Sudeste,atraso,339.09
13,2026-01-22,2026-01-28,Speedy,Nordeste,atraso,132.13
14,2026-02-22,2026-02-27,FastLog,Centro-Oeste,atraso,51.36
15,2026-01-02,2026-01-08,FastLog,Nordeste,atraso,477.1
16,2026-03-29,2026-03-31,FastLog,Centro-Oeste,entregue,845.02
17,2026-01-30,2026-01-31,FastLog,Norte,entregue,593.7
18,2026-02-07,2026-02-14,FastLog,Centro-Oeste,atraso,999.25
19,2026-01-02,2026-01-09,Speedy,Sul,atraso,322.5
20,2026-03-05,2026-03-07,UltraShip,Sudeste,entregue,316.43
21,2026-03-01,2026-03-03,Speedy,Norte,entregue,201.76
22,2026-01-21,2026-01-22,Speedy,Norte,entregue,205.86
23,2026-02-02,2026-02-10,FastLog,Sul,atraso,320.93
24,2026-03-17,2026-03-25,FastLog,Centro-Oeste,atraso,803.2
25,2026-02-27,2026-02-28,LogX,Sudeste,entregue,910.47
26,2026-01-22,2026-01-30,FastLog,Norte,atraso,976.33
27,2026-03-30,2026-04-08,LogX,Sudeste,atraso,270.68
28,2026-02-18,2026-02-22,LogX,Norte,entregue,887.23
29,2026-02-28,2026-03-01,LogX,Centro-Oeste,entregue,361.84
30,2026-02-11,2026-02-12,LogX,Norte,entregue,157.2
31,2026-03-01,2026-03-04,Speedy,Norte,entregue,876.52
32,2026-03-21,2026-03-26,Speedy,Nordeste,atraso,654.3
33,2026-01-15,2026-01-20,LogX,Centro-Oeste,atraso,206.49
34,2026-03-03,2026-03-12,UltraShip,Sul,atraso,458.34
35,2026-03-03,2026-03-05,UltraShip,Sul,entregue,322.89
36,2026-02-16,2026-02-18,LogX,Centro-Oeste,entregue,749.95
37,2026-03-03,2026-03-09,LogX,Sul,atraso,480.75
